state,hours
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,30
CA,40
CA,40
CA,30
CA,40
CA,75
FL,40
FL,40
FL,40
FL,40
FL,40
FL,35
FL,40
FL,84
FL,55
FL,36
FL,40
FL,58
FL,20
FL,40
FL,60
FL,40
FL,40
FL,40
FL,45
FL,40
FL,40
FL,40
FL,70
FL,40
FL,80
FL,35
FL,48
FL,40
FL,40
FL,30
FL,50
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,55
FL,40
FL,20
FL,40
FL,36
FL,40
FL,40
FL,40
FL,40
FL,40
FL,46
FL,40
FL,9
FL,40
FL,40
FL,40
FL,40
FL,30
FL,40
FL,35
FL,40
FL,35
FL,35
FL,35
FL,20
FL,15
FL,40
FL,50
FL,40
FL,40
FL,40
FL,50
FL,40
FL,40
FL,40
FL,40
FL,45
FL,45
FL,40
FL,40
FL,30
FL,20
FL,2
FL,40
FL,10
FL,40
FL,35
FL,40
FL,40
FL,40
FL,60
FL,80
FL,40
FL,80
FL,32
FL,50
FL,40
FL,35
FL,35
FL,40
FL,70
FL,50
FL,40
FL,40
FL,40
FL,40
FL,36
FL,70
FL,40
FL,45
FL,40
FL,40
FL,36
FL,24
FL,30
FL,24
FL,50
FL,40
FL,36
FL,40
FL,20
FL,40
FL,20
FL,40
FL,40
FL,40
FL,10
FL,40
FL,40
FL,40
FL,40
FL,40
FL,45
FL,40
FL,40
FL,32
FL,25
FL,40
FL,45
FL,40
FL,35
FL,60
FL,45
FL,40
FL,40
FL,25
FL,35
FL,40
FL,50
FL,50
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,20
FL,40
FL,40
FL,40
FL,30
FL,40
FL,40
FL,25
FL,40
FL,40
FL,40
FL,40
FL,28
FL,40
FL,55
FL,40
FL,40
FL,2
FL,50
FL,40
FL,40
FL,40
FL,40
FL,55
FL,15
FL,40
FL,21
FL,40
FL,40
FL,40
FL,40
FL,40
FL,40
FL,24
FL,50
FL,40
FL,40
FL,65
FL,40
FL,50
FL,50
FL,40
FL,40
FL,70
FL,60
FL,30
FL,50
FL,40
FL,40
FL,22
FL,17
FL,16
FL,40
FL,40
HI,40
HI,50
HI,40
HI,40
HI,40
HI,40
HI,60
HI,60
HI,6
HI,40
HI,40
HI,40
HI,35
HI,24
HI,50
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,35
HI,40
HI,45
HI,45
HI,40
HI,40
HI,40
HI,40
HI,40
HI,38
HI,40
HI,40
HI,40
HI,40
HI,40
HI,8
HI,20
HI,15
HI,40
HI,40
HI,40
HI,60
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,40
HI,20
HI,40
HI,43
HI,40
HI,40
HI,40
HI,37
HI,35
HI,40
HI,40
HI,40
NV,50
NV,40
NV,40
NV,40
NV,30
NV,14
NV,40
NV,16
NV,40
NV,40
NV,40
NV,40
NV,50
NV,40
NV,10
NV,40
NV,40
NV,30
NV,40
NV,40
NV,15
NV,12
NV,40
NV,32
NV,50
NV,40
NV,25
NV,85
NV,42
NV,42
NV,55
NV,40
NV,65
NV,45
NV,50
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,40
NV,55
NV,20
NV,50
NV,40
AK,84
AK,40
AK,27
AK,40
AK,50
AK,20
AK,40
AK,42
AK,20
AK,60
AK,40
AK,40
AK,40
AK,20
AK,20
AK,28
AK,32
AK,40
AK,36
AK,40
AK,40
AK,20
AK,35
AK,40
AK,72
AK,30
AK,90
AK,40
AK,4
AK,70
AK,40
CA,16
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,50
CA,35
CA,40
CA,40
CA,35
CA,40
CA,40
CA,40
CA,40
CA,40
CA,30
CA,40
CA,12
CA,40
CA,40
CA,20
CA,40
CA,40
CA,40
CA,40
CA,40
CA,25
CA,6
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
CA,40
